X,Y,fingerMag
0.5,4.3,54.939012
0.5,4.4,54.331112
0.5,4.5,53.856715
0.5,4.6,53.533054
0.5,4.7,53.360940
0.5,4.8,53.324785
0.5,4.9,53.408290
0.5,5.0,53.595158
0.5,5.1,53.869090
0.5,5.2,54.213788
0.5,5.3,54.612953
0.5,5.4,55.050288
0.5,5.5,55.510193
0.5,5.6,55.986223
0.5,5.7,56.478350
0.5,5.8,56.986681
0.5,5.9,57.511320
0.5,6.0,58.052375
0.5,6.1,58.609951
0.5,6.2,59.184154
0.5,6.3,59.775089
0.5,6.4,60.382861
0.5,6.5,61.006865
0.5,6.6,61.644733
0.5,6.7,62.293828
0.5,6.8,62.951513
0.5,6.9,63.615151
0.5,7.0,64.282103
0.5,7.1,64.949732
0.5,7.2,65.615401
0.5,7.3,66.276473
0.5,7.4,66.930310
0.5,7.5,67.574274
0.5,7.6,68.205729
0.5,7.7,68.822037
0.5,7.8,69.420560
0.5,7.9,69.998661
0.5,8.0,70.553703
0.6,0.0,59.849277
0.6,0.1,60.804216
0.6,0.2,61.554691
0.6,0.3,62.132485
0.6,0.4,62.569380
0.6,0.5,62.897159
0.6,0.6,63.147603
0.6,0.7,63.352495
0.6,0.8,63.543617
0.6,0.9,63.752751
0.6,1.0,64.011679
0.6,1.1,64.352184
0.6,1.2,64.806047
0.6,1.3,65.405051
0.6,1.4,66.180426
0.6,1.5,67.121199
0.6,1.6,68.145157
0.6,1.7,69.163221
0.6,1.8,70.086314
0.6,1.9,70.826939
0.6,2.0,71.344464
0.6,2.1,71.651797
0.6,2.2,71.764775
0.6,2.3,71.699230
0.6,2.4,71.470998
0.6,2.5,71.095914
0.6,2.6,70.589813
0.6,2.7,69.968528
0.6,2.8,69.247340
0.6,2.9,68.438563
0.6,3.0,67.553527
0.6,3.1,66.603561
0.6,3.2,65.599997
0.6,3.3,64.554164
0.6,3.4,63.477391
0.6,3.5,62.381009
0.6,3.6,61.276348
0.6,3.7,60.174736
0.6,3.8,59.087608
0.6,3.9,58.030803
0.6,4.1,57.026155
0.6,4.2,56.095927
0.6,4.3,55.262381
0.6,4.4,54.547779
0.6,4.5,53.974382
0.6,4.6,53.563623
0.6,4.7,53.317865
0.6,4.8,53.220434
0.6,4.9,53.253831
0.6,5.0,53.400555
0.6,5.1,53.643108
0.6,5.2,53.963988
0.6,5.3,54.345697
0.6,5.4,54.770734
0.6,5.5,55.222303
0.6,5.6,55.692812
0.6,5.7,56.181120
0.6,5.8,56.686224
0.6,5.9,57.207117
0.6,6.0,57.742794
0.6,6.1,58.292251
0.6,6.2,58.854481
0.6,6.3,59.428481
0.6,6.4,60.013243
0.6,6.5,60.607608
0.6,6.6,61.210031
0.6,6.7,61.818905
0.6,6.8,62.432628
0.6,6.9,63.049594
0.6,7.0,63.668199
0.6,7.1,64.286838
0.6,7.2,64.903907
0.6,7.3,65.517801
0.6,7.4,66.126915
0.6,7.5,66.729645
0.6,7.6,67.324387
0.6,7.7,67.909536
0.6,7.8,68.483487
0.6,7.9,69.044635
0.6,8.0,69.591377
0.7,0.0,60.470267
0.7,0.1,61.242677
0.7,0.2,61.849739
0.7,0.3,62.319612
0.7,0.4,62.680453
0.7,0.5,62.960421
0.7,0.6,63.187671
0.7,0.7,63.390363
0.7,0.8,63.596653
0.7,0.9,63.834700
0.7,1.0,64.132660
0.7,1.1,64.518692
0.7,1.2,65.020953
0.7,1.3,65.667601
0.7,1.4,66.486274
0.7,1.5,67.464985
0.7,1.6,68.524855
0.7,1.7,69.580556
0.7,1.8,70.546765
0.7,1.9,71.339636
0.7,2.0,71.919246
0.7,2.1,72.295845
0.7,2.2,72.482425
0.7,2.3,72.491980
0.7,2.4,72.337503
0.7,2.5,72.031985
0.7,2.6,71.588420
0.7,2.7,71.019800
0.7,2.8,70.338927
0.7,2.9,69.557573
0.7,3.0,68.687172
0.7,3.1,67.739157
0.7,3.2,66.724960
0.7,3.3,65.656015
0.7,3.4,64.543755
0.7,3.5,63.399611
0.7,3.6,62.235019
0.7,3.7,61.061409
0.7,3.8,59.890348
0.7,3.9,58.739072
0.7,4.1,57.632532
0.7,4.2,56.596227
0.7,4.3,55.655659
0.7,4.4,54.836328
0.7,4.5,54.163734
0.7,4.6,53.662470
0.7,4.7,53.336296
0.7,4.8,53.168170
0.7,4.9,53.140150
0.7,5.0,53.234291
0.7,5.1,53.432649
0.7,5.2,53.717280
0.7,5.3,54.070241
0.7,5.4,54.473588
0.7,5.5,54.910031
0.7,5.6,55.370819
0.7,5.7,55.853192
0.7,5.8,56.354516
0.7,5.9,56.872155
0.7,6.0,57.403472
0.7,6.1,57.945832
0.7,6.2,58.496600
0.7,6.3,59.053141
0.7,6.4,59.612819
0.7,6.5,60.173600
0.7,6.6,60.734941
0.7,6.7,61.296526
0.7,6.8,61.858040
0.7,6.9,62.419166
0.7,7.0,62.979591
0.7,7.1,63.538997
0.7,7.2,64.097070
0.7,7.3,64.653494
0.7,7.4,65.207953
0.7,7.5,65.760133
0.7,7.6,66.309717
0.7,7.7,66.856390
0.7,7.8,67.399837
0.7,7.9,67.939742
0.7,8.0,68.475790
0.8,0.0,60.866708
0.8,0.1,61.466498
0.8,0.2,61.947189
0.8,0.3,62.331943
0.8,0.4,62.643922
0.8,0.5,62.906288
0.8,0.6,63.142203
0.8,0.7,63.374830
0.8,0.8,63.627331
0.8,0.9,63.922867
0.8,1.0,64.284601
0.8,1.1,64.735695
0.8,1.2,65.299312
0.8,1.3,65.998613
0.8,1.4,66.856301
0.8,1.5,67.859908
0.8,1.6,68.937597
0.8,1.7,70.011813
0.8,1.8,71.004998
0.8,1.9,71.840892
0.8,2.0,72.481667
0.8,2.1,72.933398
0.8,2.2,73.204561
0.8,2.3,73.303630
0.8,2.4,73.239081
0.8,2.5,73.019390
0.8,2.6,72.653031
0.8,2.7,72.148479
0.8,2.8,71.514686
0.8,2.9,70.763133
0.8,3.0,69.906141
0.8,3.1,68.956033
0.8,3.2,67.925132
0.8,3.3,66.825761
0.8,3.4,65.670243
0.8,3.5,64.470899
0.8,3.6,63.240053
0.8,3.7,61.990027
0.8,3.8,60.733289
0.8,3.9,59.488549
0.8,4.1,58.283002
0.8,4.2,57.144450
0.8,4.3,56.100695
0.8,4.4,55.179536
0.8,4.5,54.408777
0.8,4.6,53.815267
0.8,4.7,53.404009
0.8,4.8,53.158193
0.8,4.9,53.060063
0.8,5.0,53.091864
0.8,5.1,53.235838
0.8,5.2,53.474230
0.8,5.3,53.789284
0.8,5.4,54.163243
0.8,5.5,54.578910
0.8,5.6,55.026385
0.8,5.7,55.500888
0.8,5.8,55.997744
0.8,5.9,56.512280
0.8,6.0,57.039822
0.8,6.1,57.575695
0.8,6.2,58.115224
0.8,6.3,58.653736
0.8,6.4,59.186561
0.8,6.5,59.710538
0.8,6.6,60.226266
0.8,6.7,60.734918
0.8,6.8,61.237667
0.8,6.9,61.735687
0.8,7.0,62.230149
0.8,7.1,62.722229
0.8,7.2,63.213098
0.8,7.3,63.703930
0.8,7.4,64.195898
0.8,7.5,64.690175
0.8,7.6,65.187935
0.8,7.7,65.690350
0.8,7.8,66.198594
0.8,7.9,66.713840
0.8,8.0,67.237261
0.9,0.0,61.062575
0.9,0.1,61.502249
0.9,0.2,61.873988
0.9,0.3,62.194925
0.9,0.4,62.482193
0.9,0.5,62.752924
0.9,0.6,63.024252
0.9,0.7,63.313308
0.9,0.8,63.637227
0.9,0.9,64.013141
0.9,1.0,64.458183
0.9,1.1,64.989485
0.9,1.2,65.624182
0.9,1.3,66.379404
0.9,1.4,67.271904
0.9,1.5,68.289198
0.9,1.6,69.369453
0.9,1.7,70.446082
0.9,1.8,71.452498
0.9,1.9,72.323157
0.9,2.0,73.023440
0.9,2.1,73.554054
0.9,2.2,73.917638
0.9,2.3,74.116831
0.9,2.4,74.154272
0.9,2.5,74.032600
0.9,2.6,73.754455
0.9,2.7,73.322474
0.9,2.8,72.740679
0.9,2.9,72.020470
0.9,3.0,71.175691
0.9,3.1,70.220190
0.9,3.2,69.167815
0.9,3.3,68.032413
0.9,3.4,66.827833
0.9,3.5,65.567921
0.9,3.6,64.266526
0.9,3.7,62.937494
0.9,3.8,61.594819
0.9,3.9,60.258726
0.9,4.1,58.957913
0.9,4.2,57.721682
0.9,4.3,56.579338
0.9,4.4,55.560183
0.9,4.5,54.693521
0.9,4.6,54.007686
0.9,4.7,53.508779
0.9,4.8,53.180700
0.9,4.9,53.006387
0.9,5.0,52.968775
0.9,5.1,53.050803
0.9,5.2,53.235407
0.9,5.3,53.505524
0.9,5.4,53.844092
0.9,5.5,54.234476
0.9,5.6,54.665652
0.9,5.7,55.130528
0.9,5.8,55.622095
0.9,5.9,56.133341
0.9,6.0,56.657258
0.9,6.1,57.186836
0.9,6.2,57.715065
0.9,6.3,58.234935
0.9,6.4,58.739443
0.9,6.5,59.224120
0.9,6.6,59.690807
0.9,6.7,60.142309
0.9,6.8,60.581429
0.9,6.9,61.010973
0.9,7.0,61.433746
0.9,7.1,61.852553
0.9,7.2,62.270198
0.9,7.3,62.689486
0.9,7.4,63.113222
0.9,7.5,63.544211
0.9,7.6,63.985257
0.9,7.7,64.439165
0.9,7.8,64.908741
0.9,7.9,65.396789
0.9,8.0,65.906113
1.0,0.0,61.081843
1.0,0.1,61.376498
1.0,0.2,61.657083
1.0,0.3,61.934006
1.0,0.4,62.217674
1.0,0.5,62.518492
1.0,0.6,62.846868
1.0,0.7,63.213209
1.0,0.8,63.627922
1.0,0.9,64.101412
1.0,1.0,64.644087
1.0,1.1,65.266354
1.0,1.2,65.978619
1.0,1.3,66.791289
1.0,1.4,67.714480
1.0,1.5,68.736086
1.0,1.6,69.806489
1.0,1.7,70.872454
1.0,1.8,71.880749
1.0,1.9,72.778881
1.0,2.0,73.536276
1.0,2.1,74.147406
1.0,2.2,74.608113
1.0,2.3,74.914235
1.0,2.4,75.061614
1.0,2.5,75.046089
1.0,2.6,74.863502
1.0,2.7,74.509691
1.0,2.8,73.982968
1.0,2.9,73.294814
1.0,3.0,72.461082
1.0,3.1,71.497628
1.0,3.2,70.420309
1.0,3.3,69.244982
1.0,3.4,67.987503
1.0,3.5,66.663727
1.0,3.6,65.289513
1.0,3.7,63.880715
1.0,3.8,62.453324
1.0,3.9,61.029093
1.0,4.1,59.637606
1.0,4.2,58.309007
1.0,4.3,57.073439
1.0,4.4,55.961046
1.0,4.5,55.001973
1.0,4.6,54.225400
1.0,4.7,53.638383
1.0,4.8,53.225891
1.0,4.9,52.971935
1.0,5.0,52.860524
1.0,5.1,52.875667
1.0,5.2,53.001375
1.0,5.3,53.221659
1.0,5.4,53.520527
1.0,5.5,53.882265
1.0,5.6,54.294763
1.0,5.7,54.748436
1.0,5.8,55.233753
1.0,5.9,55.741184
1.0,6.0,56.261195
1.0,6.1,56.784257
1.0,6.2,57.300837
1.0,6.3,57.801404
1.0,6.4,58.276438
1.0,6.5,58.720044
1.0,6.6,59.135366
1.0,6.7,59.526924
1.0,6.8,59.899243
1.0,6.9,60.256845
1.0,7.0,60.604253
1.0,7.1,60.945989
1.0,7.2,61.286577
1.0,7.3,61.630539
1.0,7.4,61.982398
1.0,7.5,62.346677
1.0,7.6,62.727899
1.0,7.7,63.130586
1.0,7.8,63.559261
1.0,7.9,64.018448
1.0,8.0,64.512668
1.1,0.0,60.948489
1.1,0.1,61.115813
1.1,0.2,61.323420
1.1,0.3,61.574633
1.1,0.4,61.872771
1.1,0.5,62.221155
1.1,0.6,62.623106
1.1,0.7,63.081945
1.1,0.8,63.600992
1.1,0.9,64.183569
1.1,1.0,64.832996
1.1,1.1,65.552593
1.1,1.2,66.345681
1.1,1.3,67.215582
