acceX,acceY,acceZ,x2,y2,z2,sum,sqrt
2.1642303,0.1945343,16.64592,4.683892791,0.037843594,277.0866526,281.808389,16.78714952
1.2839355,-0.01361084,16.35733,1.648490368,0.000185255,267.5622447,269.2109204,16.40764823
1.3972626,-0.5506134,9.732025,1.952342773,0.303175116,94.7123106,96.96782849,9.847224405
0.70713806,-0.9023895,5.919113,0.500044236,0.81430681,35.03589871,36.35024975,6.02911683
-0.0463562,-0.6420288,5.080948,0.002148897,0.41220098,25.81603258,26.23038246,5.121560549
0.37008667,0.34220886,3.4920807,0.136964143,0.117106904,12.19462762,12.44869866,3.528271342
0.57821655,0.1870575,6.149811,0.334334379,0.034990508,37.82017534,38.18950022,6.179765386
-0.115112305,0.40237427,11.531845,0.013250843,0.161905053,132.9834491,133.158605,11.53943694
-0.115112305,0.40237427,11.531845,0.013250843,0.161905053,132.9834491,133.158605,11.53943694
0.9733734,0.63449097,16.39798,0.947455776,0.402578791,268.8937481,270.2437826,16.43909312
0.51815796,-0.17474365,18.289505,0.268487672,0.030535343,334.5059931,334.8050162,18.29767789
2.577362,-0.7510376,10.846573,6.642794879,0.564057477,117.6481458,124.8549982,11.17385333
1.1269836,-1.2042236,7.607498,1.270092035,1.450154479,57.87402582,60.59427233,7.784232289
0.18095398,-0.52523804,5.335495,0.032744343,0.275874999,28.4675069,28.77612624,5.364338378
0.105285645,0.19692993,3.8005219,0.011085067,0.038781397,14.44396671,14.49383318,3.807076723
0.7248688,0.24053955,4.026718,0.525434777,0.057859275,16.21445785,16.7977519,4.098506058
-0.24095154,-0.45462036,9.751862,0.058057645,0.206679672,95.09881247,95.36354978,9.765426247
1.797699,0.22026062,14.459763,3.231721695,0.048514741,209.084746,212.3649825,14.57274794
1.797699,0.22026062,14.459763,3.231721695,0.048514741,209.084746,212.3649825,14.57274794
1.6387634,-0.51335144,16.768326,2.685545481,0.263529701,281.1767568,284.125832,16.85603251
0.7680664,-0.55874634,8.606644,0.589925995,0.312197472,74.07432094,74.97644441,8.658893948
1.2286682,-0.4950714,11.732666,1.509625546,0.245095691,137.6554515,139.4101727,11.80720851
-0.09791565,-0.97802734,7.9969482,0.009587475,0.956537478,63.95118051,64.91730547,8.057127619
-0.37828064,-0.24464417,4.7946777,0.143096243,0.05985077,22.98893425,23.19188126,4.815794977
0.2852173,0.62416077,3.166809,0.081348908,0.389576667,10.02867924,10.49960482,3.240309371
-0.36843872,0.08187866,7.8985596,0.13574709,0.006704115,62.38724375,62.52969496,7.907572002
0.21838379,0.6406555,11.234726,0.04769148,0.41043947,126.2190683,126.6771992,11.25509659
0.21838379,0.6406555,11.234726,0.04769148,0.41043947,126.2190683,126.6771992,11.25509659
0.45013428,0.30271912,16.636444,0.20262087,0.091638866,276.771269,277.0655287,16.64528548
2.8201752,-1.1782379,10.152283,7.953388159,1.388244549,103.0688501,112.4104828,10.602381
1.1876678,-0.58332825,19.035645,1.410554803,0.340271847,362.3557806,364.1066072,19.08157769
0.5565033,-1.3849487,6.769867,0.309695923,1.918082902,45.8310992,48.05887802,6.932451083
-0.22877502,-0.30963135,5.4597015,0.05233801,0.095871573,29.80834047,29.95655005,5.473257718
0.35343933,0.68888855,2.9686584,0.12491936,0.474567434,8.812932696,9.41241949,3.06796667
0.4053955,0.54841614,5.560257,0.164345511,0.300760263,30.91645791,31.38156368,5.601924998
-0.39393616,0.4098053,9.458206,0.155185698,0.167940384,89.45766074,89.78078682,9.475272388
0.70692444,0.3149109,15.958435,0.499742164,0.099168875,254.6716476,255.2705587,15.9771887
0.70692444,0.3149109,15.958435,0.499742164,0.099168875,254.6716476,255.2705587,15.9771887
0.2146759,-0.3088684,16.648254,0.046085742,0.095399689,277.1643612,277.3058467,16.65250272
0.441864,-0.12956238,9.446533,0.195243794,0.01678641,89.23698572,89.44901592,9.457748988
-0.3869934,-0.8123932,6.2073517,0.149763892,0.659982711,38.53121513,39.34096173,6.272237378
-0.55488586,0.05256653,6.8971863,0.307898318,0.00276324,47.57117886,47.88184041,6.919670542
-0.26065063,-0.9905548,5.439041,0.067938751,0.981198812,29.583167,30.63230456,5.534645839
-0.6220093,0.921051,8.6232605,0.386895569,0.848334945,74.36062165,75.59585216,8.694587521
-0.6220093,0.921051,8.6232605,0.386895569,0.848334945,74.36062165,75.59585216,8.694587521
-0.7696533,1.3076782,10.873016,0.592366202,1.710022275,118.2224769,120.5248654,10.97838173
-0.051452637,1.5026855,11.219925,0.002647374,2.258063712,125.886717,128.1474281,11.32022209
0.13963318,0.1890564,12.716583,0.019497425,0.035742322,161.7114832,161.7667229,12.71875477
-0.5778961,-1.9484863,13.970367,0.333963902,3.796598861,195.1711541,199.3017169,14.117426
1.0665588,-1.8664703,8.943741,1.137547674,3.483711381,79.99050308,84.61176213,9.198465205
0.022537231,-1.2857208,7.886734,0.000507927,1.653077976,62.20057319,63.85415909,7.990879744
-0.3595581,-0.4890747,7.953705,0.129282027,0.239194062,63.26142323,63.62989932,7.976835169
-0.2041626,-0.17738342,8.392838,0.041682367,0.031464878,70.43972969,70.51287694,8.397194587
-0.63812256,-0.12261963,9.805237,0.407200402,0.015035574,96.14267263,96.5649086,9.826744558
0.997406,-0.034835815,8.952957,0.994818729,0.001213534,80.15543904,81.15147131,9.008411142
0.997406,-0.034835815,8.952957,0.994818729,0.001213534,80.15543904,81.15147131,9.008411142
-0.5319061,-0.47732544,11.248352,0.282924099,0.227839576,126.5254227,127.0361864,11.27103307
0.01626587,0.21318054,9.61142,0.000264579,0.045445943,92.37939442,92.42510494,9.613797633
-0.2815094,0.16804504,9.328522,0.079247542,0.028239135,87.0213227,87.12880938,9.334281407
-0.4841156,0.07862854,9.672974,0.234367914,0.006182447,93.566426,93.80697637,9.685400166
-0.7188873,0.012374878,9.253799,0.51679895,0.000153138,85.63279593,86.14974802,9.281688856
-0.45957947,0.005264282,9.656708,0.211213289,2.77E-05,93.2520094,93.4632504,9.66763934
0.02507019,0.1247406,9.560028,0.000628514,0.015560217,91.39413536,91.41032409,9.560874651
-0.21232605,-0.061813354,9.87886,0.045082352,0.003820891,97.5918749,97.64077814,9.881334836
